Zone,Population,Date,ConfirmedCasesWeekLater,Origin,NumPassengers,OriginConfirmed,OriginPopulation,ImportedRisk
Albania,2877800,2020-02-09,0,Italy,2078.028,3,60461828,0.00010374009146542816
Albania,2877800,2020-02-09,0,Switzerland,121.95,0,8654618,0.0
Albania,2877800,2020-02-09,0,United Kingdom,272.355,14,67886004,0.00005687243183174806
Albania,2877800,2020-02-10,0,Austria,121.95,0,9006400,0.0
Albania,2877800,2020-02-10,0,Belgium,78.04799999999999,1,11589616,0.000006804287459122463
Albania,2877800,2020-02-10,0,France,65.85300000000001,11,65273512,0.000011179911231285399
Albania,2877800,2020-02-10,0,Germany,202.437,14,83783945,0.00003412759042249935
Albania,2877800,2020-02-10,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-10,0,Italy,2195.1,3,60461828,0.00010951376396747134
Albania,2877800,2020-02-10,0,Netherlands,124.389,0,17134873,0.0
Albania,2877800,2020-02-10,0,Serbia,100.81199999999998,0,8737370,0.0
Albania,2877800,2020-02-10,0,United Kingdom,272.355,14,67886004,0.000056834818836101536
Albania,2877800,2020-02-11,0,Austria,353.655,0,9006400,0.0
Albania,2877800,2020-02-11,0,Germany,253.656,16,83783945,0.000048871179381664355
Albania,2877800,2020-02-11,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-11,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-11,0,Italy,1639.0079999999996,3,60461828,0.00008175959895172916
Albania,2877800,2020-02-11,0,Switzerland,121.95,0,8654618,0.0
Albania,2877800,2020-02-11,0,United Kingdom,121.95,15,67886004,0.00002726617107488381
Albania,2877800,2020-02-12,0,Austria,121.95,0,9006400,0.0
Albania,2877800,2020-02-12,0,Belgium,144.714,1,11589616,0.000012616282997122898
Albania,2877800,2020-02-12,0,Germany,253.656,16,83783945,0.00004881777882387576
Albania,2877800,2020-02-12,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-12,0,Italy,1759.332,3,60461828,0.00008773503590472979
Albania,2877800,2020-02-12,0,Serbia,100.81199999999998,0,8737370,0.0
Albania,2877800,2020-02-12,0,United Kingdom,272.355,16,67886004,0.00006495407864931463
Albania,2877800,2020-02-13,0,Austria,394.305,0,9006400,0.0
Albania,2877800,2020-02-13,0,Belgium,78.04799999999999,1,11589616,0.000006814344257413778
Albania,2877800,2020-02-13,0,France,144.714,11,65273512,0.00002464087770512174
Albania,2877800,2020-02-13,0,Germany,121.95,16,83783945,0.00002353048626109416
Albania,2877800,2020-02-13,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-13,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-13,0,Italy,2034.126,3,60461828,0.00010149038601979483
Albania,2877800,2020-02-13,0,Switzerland,121.95,0,8654618,0.0
Albania,2877800,2020-02-13,0,United Kingdom,394.305,17,67886004,0.00010006304486226284
Albania,2877800,2020-02-14,0,Austria,121.95,0,9006400,0.0
Albania,2877800,2020-02-14,0,Belgium,78.04799999999999,1,11589616,0.000006804287459122463
Albania,2877800,2020-02-14,0,Germany,268.29,16,83783945,0.000051729564680763986
Albania,2877800,2020-02-14,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-14,0,Italy,1819.494,3,60461828,0.0000908373216254707
Albania,2877800,2020-02-14,0,Kosovo,0,0,1810366,0
Albania,2877800,2020-02-14,0,Netherlands,144.714,0,17134873,0.0
Albania,2877800,2020-02-14,0,Serbia,100.81199999999998,0,8737370,0.0
Albania,2877800,2020-02-14,0,United Kingdom,394.305,18,67886004,0.00010594910628739483
Albania,2877800,2020-02-15,0,Austria,394.305,0,9006400,0.0
Albania,2877800,2020-02-15,0,Germany,253.656,16,83783945,0.00004890590632943268
Albania,2877800,2020-02-15,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-15,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-15,0,Italy,1632.5039999999997,3,60461828,0.00008149560785925653
Albania,2877800,2020-02-15,0,Serbia,63.413999999999994,0,8737370,0.0
Albania,2877800,2020-02-15,0,United Kingdom,121.95,18,67886004,0.000032767764831153034
Albania,2877800,2020-02-16,0,Austria,222.762,0,9006400,0.0
Albania,2877800,2020-02-16,0,Belgium,124.389,1,11589616,0.000010860361160253206
Albania,2877800,2020-02-16,0,France,144.714,12,65273512,0.000026920687807869704
Albania,2877800,2020-02-16,0,Germany,253.656,16,83783945,0.000048836503703255055
Albania,2877800,2020-02-16,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-16,0,Italy,2112.9869999999996,3,60461828,0.00010552921162490656
Albania,2877800,2020-02-16,0,Switzerland,121.95,0,8654618,0.0
Albania,2877800,2020-02-16,0,United Kingdom,272.355,18,67886004,0.0000731813416349599
Albania,2877800,2020-02-17,0,Austria,121.95,0,9006400,0.0
Albania,2877800,2020-02-17,0,Belgium,78.04799999999999,1,11589616,0.000006814344269791845
Albania,2877800,2020-02-17,0,Germany,268.29,16,83783945,0.000051768516337840725
Albania,2877800,2020-02-17,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-17,0,Italy,2230.8719999999994,3,60461828,0.00011138072803550914
Albania,2877800,2020-02-17,0,Netherlands,144.714,0,17134873,0.0
Albania,2877800,2020-02-17,0,United Kingdom,272.355,19,67886004,0.00007731002174464187
Albania,2877800,2020-02-18,0,Austria,373.16700000000003,0,9006400,0.0
Albania,2877800,2020-02-18,0,France,136.584,12,65273512,0.00002544584329628945
Albania,2877800,2020-02-18,0,Germany,253.656,16,83783945,0.00004890590643894232
Albania,2877800,2020-02-18,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-18,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-18,0,Italy,1639.0079999999998,3,60461828,0.00008182363697027188
Albania,2877800,2020-02-18,0,Switzerland,121.95,0,8654618,0.0
Albania,2877800,2020-02-18,0,United Kingdom,121.95,19,67886004,0.00003458819628293568
Albania,2877800,2020-02-19,0,Austria,121.95,0,9006400,0.0
Albania,2877800,2020-02-19,0,Belgium,78.04799999999999,1,11589616,0.000006804287469937287
Albania,2877800,2020-02-19,0,Germany,332.517,16,83783945,0.00006403042818978834
Albania,2877800,2020-02-19,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-19,0,Italy,1803.2340000000002,3,60461828,0.00008994442298081344
Albania,2877800,2020-02-19,0,United Kingdom,272.355,20,67886004,0.00008131260175928606
Albania,2877800,2020-02-20,0,Austria,373.16700000000003,0,9006400,0.0
Albania,2877800,2020-02-20,0,Belgium,144.714,1,11589616,0.000012634930000239048
Albania,2877800,2020-02-20,0,France,152.844,12,65273512,0.000028435321337410742
Albania,2877800,2020-02-20,0,Germany,187.803,16,83783945,0.00003621819637847194
Albania,2877800,2020-02-20,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-20,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-20,0,Italy,2039.004,3,60461828,0.00010179056749459458
Albania,2877800,2020-02-20,0,Serbia,126.82799999999999,0,8737370,0.0
Albania,2877800,2020-02-20,0,Switzerland,121.95,0,8654618,0.0
Albania,2877800,2020-02-20,0,United Kingdom,394.305,22,67886004,0.00012949335226265768
Albania,2877800,2020-02-21,0,Austria,121.95,0,9006400,0.0
Albania,2877800,2020-02-21,0,Belgium,144.714,1,11589616,0.000012616283017175389
Albania,2877800,2020-02-21,0,Germany,202.437,16,83783945,0.00003904185475300256
Albania,2877800,2020-02-21,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-21,0,Italy,2053.638,20,60461828,0.0006831674088975261
Albania,2877800,2020-02-21,0,Netherlands,144.714,0,17134873,0.0
Albania,2877800,2020-02-21,0,United Kingdom,394.305,23,67886004,0.000135379413681412
Albania,2877800,2020-02-22,0,Austria,373.16700000000003,0,9006400,0.0
Albania,2877800,2020-02-22,0,Germany,253.656,16,83783945,0.000048905906458853155
Albania,2877800,2020-02-22,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-22,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-22,0,Italy,1426.002,62,60461828,0.0014714172772806598
Albania,2877800,2020-02-22,0,Serbia,63.413999999999994,0,8737370,0.0
Albania,2877800,2020-02-22,0,United Kingdom,121.95,23,67886004,0.00004180812898052895
Albania,2877800,2020-02-23,0,Austria,222.762,0,9006400,0.0
Albania,2877800,2020-02-23,0,Belgium,124.389,1,11589616,0.000010844333155212549
Albania,2877800,2020-02-23,0,France,144.714,12,65273512,0.00002688095751160835
Albania,2877800,2020-02-23,0,Germany,253.656,16,83783945,0.00004881777893678529
Albania,2877800,2020-02-23,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-23,0,Italy,2157.7019999999998,155,60461828,0.005566086617900524
Albania,2877800,2020-02-23,0,Switzerland,121.95,0,8654618,0.0
Albania,2877800,2020-02-23,0,United Kingdom,272.355,28,67886004,0.00011376241616320996
Albania,2877800,2020-02-24,0,Austria,121.95,0,9006400,0.0
Albania,2877800,2020-02-24,0,Belgium,124.389,1,11589616,0.000010844333155212549
Albania,2877800,2020-02-24,0,Czechia,7.316999999999999,0,10708982,0.0
Albania,2877800,2020-02-24,0,Germany,202.437,16,83783945,0.00003902312987646949
Albania,2877800,2020-02-24,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-24,0,Italy,2331.6839999999993,229,60461828,0.008883388806006325
Albania,2877800,2020-02-24,0,Netherlands,144.714,0,17134873,0.0
Albania,2877800,2020-02-24,0,United Kingdom,272.355,30,67886004,0.00012196890220890865
Albania,2877800,2020-02-25,0,Austria,332.51699999999994,2,9006400,0.00007430451428701044
Albania,2877800,2020-02-25,0,France,136.584,14,65273512,0.000029686817232634087
Albania,2877800,2020-02-25,0,Germany,253.656,17,83783945,0.00005196252560187673
Albania,2877800,2020-02-25,0,Greece,121.95,0,10423056,0.0
Albania,2877800,2020-02-25,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-25,0,Italy,1149.5819999999999,322,60461828,0.006162013706520581
Albania,2877800,2020-02-25,0,Serbia,8.13,0,8737370,0.0
Albania,2877800,2020-02-25,0,Spain,121.95,6,46754783,0.000015859144814915127
Albania,2877800,2020-02-25,0,Switzerland,121.95,1,8654618,0.000014216163330384247
Albania,2877800,2020-02-25,0,United Kingdom,121.95,34,67886004,0.00006189466670529275
Albania,2877800,2020-02-26,0,Austria,121.95,2,9006400,0.000027281462901256814
Albania,2877800,2020-02-26,0,Belgium,144.714,1,11589616,0.000012616283017175389
Albania,2877800,2020-02-26,0,Germany,253.656,27,83783945,0.00008244324496583879
Albania,2877800,2020-02-26,0,Greece,121.95,1,10423056,0.000011751978420887951
Albania,2877800,2020-02-26,0,Italy,1657.7070000000003,453,60461828,0.01249107017739843
Albania,2877800,2020-02-26,0,United Kingdom,272.355,37,67886004,0.0001504283123530696
Albania,2877800,2020-02-27,0,Austria,373.16700000000003,3,9006400,0.00012503710863946693
