,Zone,Date,CasesEstimation,ConfirmedCasesWeekLater
0,Albania,2020-03-01,0.04805631553530129,0
1,Albania,2020-03-02,0.061259397859637243,2
2,Albania,2020-03-03,0.054097685930181626,10
3,Albania,2020-03-04,0.07094169286276147,12
4,Albania,2020-03-05,0.10978057157541563,23
5,Albania,2020-03-06,0.137541180908921,33
6,Albania,2020-03-07,0.13775780063469553,38
7,Albania,2020-03-08,0.17665541279142608,42
8,Albania,2020-03-09,0.1043759653426149,51
9,Albania,2020-03-10,0.03876837644061773,55
10,Albania,2020-03-11,0.011649147898055212,59
11,Albania,2020-03-12,0.0373893085741952,64
12,Albania,2020-03-13,0.07174086384265396,70
13,Albania,2020-03-14,0.037514236719691424,76
14,Albania,2020-03-15,0.04489976637174935,89
15,Albania,2020-03-16,0.11490605739043457,104
16,Albania,2020-03-17,0.06756857414428767,123
17,Albania,2020-03-18,0.055507759073525925,146
18,Albania,2020-03-19,0.1298988417790221,174
19,Albania,2020-03-20,0.1550041111646366,186
20,Albania,2020-03-21,0.06658529398426939,197
21,Albania,2020-03-22,0.031773153944165244,212
22,Albania,2020-03-23,0.00112523989480954,223
23,Albania,2020-03-24,0.1287829167189586,243
24,Albania,2020-03-26,0.0026933536225230226,277
25,Albania,2020-03-27,0.4097076373866738,304
26,Albania,2020-03-28,0.15430121838380392,333
27,Albania,2020-03-29,0.06157328352108509,361
28,Albania,2020-03-30,0.21827580267251617,377
29,Albania,2020-03-31,0.14240935157684445,383
30,Austria,2020-03-01,0.08381798516261518,104
31,Austria,2020-03-02,0.11992874541694967,131
32,Austria,2020-03-03,0.12556635883557865,182
33,Austria,2020-03-04,0.16823519092771225,246
34,Austria,2020-03-05,0.26499144761269067,302
35,Austria,2020-03-06,0.3640250868387209,504
36,Austria,2020-03-07,0.41540536348540363,655
37,Austria,2020-03-08,0.48624799529864726,860
38,Austria,2020-03-09,0.5585773954100685,1018
39,Austria,2020-03-10,0.5004200376545755,1332
40,Austria,2020-03-11,0.6881053610356445,1646
41,Austria,2020-03-12,0.6996488214882611,2013
42,Austria,2020-03-13,1.449881062237118,2388
43,Austria,2020-03-14,1.66991353995944,2814
44,Austria,2020-03-15,1.878761100684009,3582
45,Austria,2020-03-16,1.6110934212213388,4474
46,Austria,2020-03-17,0.9557457457945567,5283
47,Austria,2020-03-18,0.962726048923362,5588
48,Austria,2020-03-19,0.6865926424893118,6909
49,Austria,2020-03-20,1.0064391801646093,7657
50,Austria,2020-03-21,0.7333473761125697,8271
51,Austria,2020-03-22,0.6010678405589289,8788
52,Austria,2020-03-23,0.5798713526336391,9618
53,Austria,2020-03-24,0.4933675072583728,10180
54,Austria,2020-03-25,0.6230237480442379,10711
55,Austria,2020-03-26,1.2829302976363277,11129
56,Austria,2020-03-27,0.6928059941199418,11524
57,Austria,2020-03-28,0.4314167076461106,11781
58,Austria,2020-03-29,0.6105891458585851,12051
59,Austria,2020-03-30,0.7698245272103552,12297
60,Austria,2020-03-31,0.9152001936482121,12639
61,Belarus,2020-03-01,0.0030917022546536697,6
62,Belarus,2020-03-02,0.006119665958042769,6
63,Belarus,2020-03-03,0.0009909277933587007,9
64,Belarus,2020-03-04,0.005173908551192644,9
65,Belarus,2020-03-05,0.008057261209439058,12
